series,year,gamename,first,second,third,fourth,
BlazBlue,2011,BlazBlue: Continuum Shift II,"Alex ""Spark"" Chen","Steve ""Lord Knight"" Barthelemy","Hajime ""Tokido"" Taniguchi",Kyle Bourne,
BlazBlue,2014,BlazBlue: Chrono Phantasma,"Keiji ""Garireo"" Okamoto","Ryo ""Dogura"" Nozaki","Ryuji ""DoraBang"" Utsumi",Yoshiki Kouno,
BlazBlue,2017,BlazBlue: Central Fiction,Ryusei Ito,"Shoji ""Fenritti"" Sho","Fumihiko ""fumi"" Yokobori",Tatsuro Fujiyoshi,
BlazBlue,2018,BlazBlue: Cross Tag Battle,Heiho,"Jeronte ""Fame96"" Latham","Ryuji ""DoraBang"" Utsumi","Kazuyuki ""KojiKOG"" Koji",
BlazBlue,2019,BlazBlue: Cross Tag Battle,"Oscar ""Shinku"" Jaimes","Kamei ""Kyamei"" Hiroyuki","Seitaro ""Domi"" Ono","Kazuya ""mekasue"" Kamisue",
Dead or Alive,2006,Dead or Alive 4,"Carl ""Perfect Legend""  White","Emmanuel ""MASTER"" Rodriguez","Luke ""The High Guy"" Hess","Daniel ""King"" Roberson",
Dragonball FighterZ,2018,Dragonball FighterZ,"Dominique ""SonicFox"" McLean","Goichi ""GO1"" Kishida","Shoji ""Fenritti"" Sho","Naoki ""moke"" Nakayama",
Dragonball FighterZ,2019,Dragonball FighterZ,"Goichi ""GO1"" Kishida","Dominique ""SonicFox"" McLean","Shoji ""Fenritti"" Sho","Joan ""Shanks"" Namay Millones",
Dragonball FighterZ,2022,Dragonball FighterZ,"Marwan ""Wawa"" Berthe","Shamar ""Nitro"" H.",Yasha,"Mohamed ""Kayne"" Sobti",
Guilty Gear,2003,Guilty Gear X2,Daigo Umehara,"Soh ""Miu"" Miura","Saif ""ID"" Ebrahim","Kenryo ""Mago"" Hayashi",
Guilty Gear,2004,Guilty Gear X2,Daigo Umehara,"Yosuke ""Kindevu"" Ito","Ryota ""RF"" Fukumoto","Kevin ""Kensou"" Turner",
Guilty Gear,2005,Guilty Gear X2#Reload,"Ryota ""RF"" Fukumoto","Yosuke ""Kindevu"" Ito","Soh ""Miu"" Miura","Martin ""Marn"" Phan",
Guilty Gear,2006,Guilty Gear XX Slash (teams),"Ryo “BAS” Yoshida/ ""Mint""/ ""Ruu""","Daigo Umehara/ Ryota ""RF"" Fukumoto/ Yosuke ""Kindevu"" Ito","Alex ""Mozanrath"" Garvin/ Peter ""Flash Metroid"" Susini/ Chaz ""Mynusdono"" Frazer","Mike ""Elvenshadow"" Boczar/ David ""Cue"" Cue/ George ""Juicy G""",
Guilty Gear,2007,Guilty Gear XX Accent Core (teams),"""Yossan""/ ""Gibson""","Peter ""Flash Metroid"" Susini/ Alex ""Mozanrath"" Garvin/ Martin ""Marn"" Phan","Ryo “BAS” Yoshida/ ""Kami-chan""/ ""Mint""","Aaron ""AKA"" Harris/ George ""Juicy G""/ John ""BlackSnake"" Prucha",
Guilty Gear,2009,Guilty Gear XX Accent Core Plus,"Abdullatif ""Latif"" Alhmili","Martin ""Marn"" Phan","Peter ""Flash Metroid"" Susini","David ""HellMonkey"" Lardiere",
Guilty Gear,2015,Guilty Gear Xrd -SIGN-,"Kenichi ""Ogawa"" Ogawa",Nage,"Ryuichi ""Woshige"" Shigeno","Takahiro ""Nakamura"" Kitano",
Guilty Gear,2016,Guilty Gear Xrd -REVELATOR-,"Masahiro ""Machabo"" Tominaga",Omito Hashimoto,"Hisatoshi ""Rion"" Usui","Takahiro ""Nakamura"" Kitano",
Guilty Gear,2017,Guilty Gear Xrd REV 2,Omito Hashimoto,T5M7,"Tezuka ""Samitto"" Kazuyoshi",Nage,
Guilty Gear,2018,Guilty Gear Xrd REV 2,Omito Hashimoto,"Masahiro ""Machabo"" Tominaga","Eli ""LostSoul"" Rabadad",Nage,
Guilty Gear,2022,Guilty Gear Strive,UMISHO,"Molham ""Slash"" Qazili","William ""Leffen"" Hjelte","Julian ""Hotashi"" Harris",
Injustice,2013,Injustice: Gods Among Us,"Phillip ""KDZ"" Atkinson","Denzell ""DJT"" Terry","Christopher ""NYChrisG"" Gonzalez","Frank ""Slayer"" Amaral",
Injustice,2014,Injustice: Gods Among Us,"Dominique ""SonicFox"" McLean","Brant ""Pig of the Hut"" McCaskill","Malik ""MIT"" Terry",Kyle Panlilio,
Injustice,2017,Injustice 2,"Ryan ""Dragon"" Walker","Tim ""HoneyBee"" Commandeur","Jivan ""Theo"" Karapetian","Andrew ""Semiij"" Fontanez",
Injustice,2018,Injustice 2,"Curtis ""Rewind"" McCall",Tweedy,"Dominique ""SonicFox"" McLean","Ryan ""Big D"" DeDomenico",
Killer Instinct,2014,Killer Instinct,"Emmanuel ""CDJr"" Brito","Jonathon ""Rico Suave"" Deleon",Justin Wong,"Neilimen ""GutterMagic"" Alicea",
Killer Instinct,2015,Killer Instinct,"Jonathon ""Rico Suave"" Deleon","Neilimen ""GutterMagic"" Alicea","Darnell ""Sleep"" Waller","Larry ""LCD"" Dent",
Killer Instinct,2016,Killer Instinct,"Darnell ""Hollywood Sleep"" Waller","Kenneth ""Bass"" Armas","Jamill ""SeaDragon"" Boykin","Nicholas ""Nicky"" Iovene",
Marvel vs. Capcom,2002,Marvel vs. Capcom 2: New Age of Heroes,Justin Wong,"Rodolfo ""RowTron"" Castro","Peter ""ComboFiend"" Rosas","Alex ""Sin"" Salguero",
